feature,shap_importance,shap_rank,tree_importance,tree_importance_type,tree_rank,perm_importance,perm_rank
rst_count,0.06508158450810216,1,0.20343344257787485,rf_gini,1,0.3854449977891393,1
IAT,0.06122263835136773,2,0.023122756368333715,rf_gini,14,0.3368647579811519,2
urg_count,0.05208074850429221,3,0.11712178970654008,rf_gini,2,0.19174691336681043,3
Header_Length,0.03433069150155966,4,0.042345057220830117,rf_gini,10,0.10412233691348631,4
Magnitue,0.02942641415916753,5,0.06490091702318766,rf_gini,4,0.03653132153605378,8
flow_duration,0.0268525130656481,6,0.04284919885253349,rf_gini,9,0.08225691434719025,5
Weight,0.02457139659168524,7,0.0216867067567402,rf_gini,16,0.01687389178720038,12
AVG,0.022845223885334547,8,0.05081495535715543,rf_gini,8,0.019203185775724062,11
Max,0.022478324086588314,9,0.055831597137115496,rf_gini,6,0.027449228661863,10
Variance,0.02107873750069278,10,0.071225146407055,rf_gini,3,0.016377961308052535,13
Number,0.020063820873046128,11,0.014888861494288239,rf_gini,17,0.010990172644589024,16
Tot size,0.018350884489373328,12,0.0415104949988603,rf_gini,11,0.012397599215251864,15
Protocol Type,0.016112783606874483,13,0.014310162613291003,rf_gini,18,0.04596859155973927,6
Std,0.01260951296003199,14,0.057250566966659526,rf_gini,5,0.00527580232072401,18
Radius,0.010726018792388265,15,0.051884613308762415,rf_gini,7,0.004067497286078104,19
Rate,0.009028241976955302,16,0.004796456783144654,rf_gini,22,0.03303073863531762,9
Srate,0.008681704992309799,17,0.007625931651342346,rf_gini,21,0.04132034488054648,7
syn_flag_number,0.007919101731045609,18,0.0006573807370037712,rf_gini,30,0.015392277258503072,14
ack_flag_number,0.007111487122090253,19,0.02724111422455723,rf_gini,13,0.003314753959592387,21
Covariance,0.007088505590131644,20,0.028635105393531295,rf_gini,12,0.0009340381706415491,28
Duration,0.005837265614627059,21,0.023031240470651648,rf_gini,15,0.002701826139770591,23
Tot sum,0.004943583722710599,22,0.008242894494255963,rf_gini,20,0.0006435823250126926,29
ICMP,0.003991833576462353,23,0.0008753069253756443,rf_gini,28,0.0028989913984603156,22
HTTPS,0.0033886874564523417,24,0.004625826198191693,rf_gini,23,-0.00040843330926756407,46
Min,0.003386134672991538,25,0.010023799704521864,rf_gini,19,0.002352789326800975,25
syn_count,0.002492312449544767,26,0.0032893592318440946,rf_gini,24,0.0004744988567946806,30
fin_count,0.0023779618829170477,27,0.0016147186127448774,rf_gini,26,0.003527746843893198,20
rst_flag_number,0.002082455177036336,28,0.00017453990798434204,rf_gini,33,0.002429823102946138,24
ack_count,0.0012585023212549555,29,0.0005549537545175646,rf_gini,31,0.0017096135000890023,26
TCP,0.0008928857605344978,30,0.0012283868157253067,rf_gini,27,0.00034999369183676967,31
fin_flag_number,0.0006866781421269931,31,3.6548289698726274e-05,rf_gini,35,0.0003079984756659493,32
psh_flag_number,0.0006575824686727378,32,0.0029858705836386394,rf_gini,25,0.0012165571909359518,27
HTTP,0.0006345900992415959,33,0.0002926491160732919,rf_gini,32,0.005735889276952344,17
UDP,0.0005094852318288791,34,0.0008015344045643598,rf_gini,29,0.00013891063298604456,33
DNS,5.3961432411101e-05,35,2.6560167868894054e-05,rf_gini,36,0.0,39
SSH,1.236689394539567e-05,36,5.4161758427910466e-05,rf_gini,34,0.0,39
ARP,3.4413598905751377e-06,37,1.6753094315821152e-06,rf_gini,39,0.0,39
LLC,1.294982141243111e-06,38,3.8058910520889215e-06,rf_gini,38,0.0,39
IPv,1.0126036063156454e-06,39,3.912784624775305e-06,rf_gini,37,0.0,39
cwr_flag_number,0.0,43,0.0,rf_gini,43,0.0,39
Drate,0.0,43,0.0,rf_gini,43,0.0,39
ece_flag_number,0.0,43,0.0,rf_gini,43,0.0,39
DHCP,0.0,43,0.0,rf_gini,43,0.0,39
Telnet,0.0,43,0.0,rf_gini,43,0.0,39
SMTP,0.0,43,0.0,rf_gini,43,0.0,39
IRC,0.0,43,0.0,rf_gini,43,0.0,39
