feature,shap_importance,shap_rank,tree_importance,tree_importance_type,tree_rank,perm_importance,perm_rank
USD,2.4608333,1,0.026235124,xgboost_gain,5,0.07599570849461462,3
Clusters_2,2.4407392,2,0.43780133,xgboost_gain,1,0.1532404048147465,1
Netflow_Bytes,1.6929998,3,0.010003596,xgboost_gain,12,0.06864566881440973,4
Flag_APS,1.5590817,4,0.24251015,xgboost_gain,2,0.1470510591804556,2
Family_Globe,0.5512932,5,0.025250765,xgboost_gain,6,0.01724083283575604,5
Clusters_1,0.4319294,6,0.0050301803,xgboost_gain,16,0.00030881655294985323,22
Flag_APSF,0.41881427,7,0.020191887,xgboost_gain,7,0.017190517491654365,6
Time,0.384718,8,0.0013197797,xgboost_gain,32,0.0050976903759440305,10
Port,0.37421432,9,0.001470938,xgboost_gain,29,7.335655495600557e-05,27
Family_SamSam,0.3691195,10,0.005703341,xgboost_gain,14,0.008131837251657137,9
Flag_APRSF,0.25264686,11,0.015052937,xgboost_gain,10,0.016227409475625877,7
IPaddress_A,0.2256506,12,0.0014611961,xgboost_gain,31,0.0001226754455164847,25
Protocol_TCP,0.1985464,13,0.061268877,xgboost_gain,3,0.0007205315406895729,19
Threats_Botnet,0.19318159,14,0.006104219,xgboost_gain,13,0.001799887352942453,14
Threats_Blacklist,0.15159966,15,0.0016907696,xgboost_gain,28,6.474844818419312e-05,29
Threats_DoS,0.1462409,16,0.016387558,xgboost_gain,8,0.0105069723203145,8
Flag_ASF,0.14449598,17,0.00064337545,xgboost_gain,33,-8.365338110210008e-05,49
IPaddress_C,0.14434946,18,0.002992144,xgboost_gain,20,0.0002524862173155729,24
Protocol_ICMP,0.12767489,19,0.0034053724,xgboost_gain,18,0.0013395309336158845,16
Threats_Port Scanning,0.12526977,20,0.0028764766,xgboost_gain,21,0.001954862046592898,13
Threats_Spam,0.124835,21,0.0014694991,xgboost_gain,30,0.0007522808166161799,18
Flag_R,0.1235528,22,0.016176239,xgboost_gain,9,8.714988655553758e-05,26
Protocol_UDP,0.10853707,23,0.0023893458,xgboost_gain,24,0.0014610629183612,15
Threats_Scan,0.10439314,24,0.001859531,xgboost_gain,27,1.8039391189494935e-06,35
Flag_AF,0.099181205,25,0.0020142067,xgboost_gain,26,-2.354925366454541e-05,46
Flag_ARF,0.09430985,26,0.0023823096,xgboost_gain,25,0.00027754792017432585,23
Threats_UDP Scan,0.090310775,27,0.0030869504,xgboost_gain,19,0.0029705324950098145,12
Flag_A,0.08172789,28,0.0125284875,xgboost_gain,11,0.004495774120487306,11
Threats_SSH,0.07481044,29,0.0044494616,xgboost_gain,17,0.0003937779177039413,20
IPaddress_B,0.07267316,30,0.002590732,xgboost_gain,23,0.0008495671221323108,17
Family_EDA2,0.031128246,31,0.00028753083,xgboost_gain,35,3.966292883060829e-05,30
Family_Locky,0.030649755,32,0.0026850807,xgboost_gain,22,3.165564825329259e-05,31
Flag_AP,0.02352691,33,0.05353068,xgboost_gain,4,7.81720299399824e-06,34
Family_DMALocker,0.017237803,34,0.00016504269,xgboost_gain,39,7.045525238597028e-05,28
Family_Cryptohitman,0.01553855,35,0.0054609245,xgboost_gain,15,0.0003691243558695434,21
Family_TowerWeb,0.013018869,36,7.926301e-05,xgboost_gain,41,7.913574059825734e-06,33
Family_Flyper,0.012866684,37,0.00019387377,xgboost_gain,38,-7.818528506964295e-05,48
Family_CryptXXX,0.011969362,38,0.0002094293,xgboost_gain,37,2.3740722179477203e-05,32
Family_JigSaw,0.006368995,39,0.00045904593,xgboost_gain,34,-2.373666779621475e-05,47
Family_APT,0.0041618496,40,6.705744e-05,xgboost_gain,43,0.0,40
Clusters_3,0.0025860036,41,0.00027509988,xgboost_gain,36,0.0,40
IPaddress_D,0.0014910423,42,0.0001225482,xgboost_gain,40,0.0,40
Family_Razy,0.0012743442,43,4.2581156e-05,xgboost_gain,44,0.0,40
Threats_NerisBotnet,0.00069453154,44,7.512053e-05,xgboost_gain,42,0.0,40
Family_CryptoLocker2015,0.0,47,0.0,xgboost_gain,47,0.0,40
Family_NoobCrypt,0.0,47,0.0,xgboost_gain,47,0.0,40
Family_Globev3,0.0,47,0.0,xgboost_gain,47,0.0,40
Family_CryptoLocker,0.0,47,0.0,xgboost_gain,47,0.0,40
Family_WannaCry,0.0,47,0.0,xgboost_gain,47,0.0,40
