feat_i,feat_j,mean_abs_interaction
USD,Clusters_2,0.5329566
Flag_APS,Clusters_2,0.35562226
USD,Netflow_Bytes,0.27793676
Netflow_Bytes,Clusters_2,0.23273177
Time,USD,0.18078187
USD,Family_SamSam,0.16812591
Time,Netflow_Bytes,0.16498548
Netflow_Bytes,Flag_APS,0.164239
Netflow_Bytes,Family_SamSam,0.13642646
Flag_APSF,Clusters_2,0.12682134
USD,Flag_APS,0.11599529
USD,Clusters_1,0.11527294
Port,Family_SamSam,0.102868244
Netflow_Bytes,Family_Globe,0.10203752
USD,Protocol_TCP,0.10083176
Time,Clusters_2,0.10014971
Family_SamSam,Threats_DoS,0.093080014
Netflow_Bytes,Port,0.09084695
Flag_APS,IPaddress_C,0.08889891
Family_Globe,Clusters_2,0.079973556
